Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
f4e7fbfe-8a92-47bd-86b5-0d5046837f02,1991-07-10,,999-65-7753,S99961896,X72730265X,Mr.,Hernán834,Ojeda263,,,S,black,dominican,M,Wesley  Saint Andrew Parish  DM,188 Becker Skyway Suite 65,Newton,Massachusetts,02458
6f839231-53ec-4060-bed4-5286201ede9d,2003-01-18,,999-25-1773,S99999732,,,Brigitte394,Jaskolski867,,,,black,african,F,Brockton  Massachusetts  US,848 Jerde Heights,Chelsea,Massachusetts,02149
bfc027bb-9671-47d8-9391-952f3d9d178d,1977-03-13,,999-62-4132,S99919736,X69664278X,Mr.,Guillermo498,Trantow673,,,M,white,irish,M,Fall River  Massachusetts  US,983 Dare Underpass Apt 21,Richmond,Massachusetts,01254
76893ca8-dea5-4ad6-bc7f-266aa65667f1,1982-12-21,1997-09-09,999-83-6585,,,,Marco Antonio298,Hurtado459,,,,hispanic,mexican,M,Mexico City  Mexico City  MX,624 Cronin Bay Unit 74,Revere,Massachusetts,02151
12fdb6e2-e13a-4b5c-b9df-0a702188aa1f,2006-09-05,,999-72-6694,,,,Francisco472,Prosacco716,,,,white,portuguese,M,Lisbon  Estremadura  PT,764 Turcotte Ranch,Townsend,Massachusetts,01469
b877e1fc-3d06-4530-a199-aaa6c741d568,2009-03-27,,999-76-4196,,,,Essie785,Schultz619,,,,white,irish,F,Easthampton Town  Massachusetts  US,294 Ortiz Port Apt 74,West Newbury,Massachusetts,01985
c94e8f7e-a42a-4349-b029-8e445d6e2f4f,1977-07-03,,999-85-1774,S99959664,X74069267X,Ms.,Elizabet136,Morissette863,,,S,white,french_canadian,F,Dedham  Massachusetts  US,271 Marvin Approach Unit 40,Sturbridge,Massachusetts,01507
8b3f9bb6-1fae-4ee2-be6a-d082b6a31988,1960-12-18,,999-98-8986,S99959298,X46298011X,Mr.,Miles206,Gutkowski940,,,M,white,irish,M,Wellesley  Massachusetts  US,1076 Bergstrom Underpass,North Adams,Massachusetts,01247
35ff36e2-3db9-4641-89c7-caeea852ffcc,2018-07-22,,999-61-9847,,,,Ozzie259,Cummings51,,,,white,irish,M,Ashby  Massachusetts  US,1070 Gibson View,Falmouth,Massachusetts,02540
e0fa3bd4-a5f9-43c5-99c9-8110b462aa7f,1982-12-21,,999-43-1665,S99927612,X34048669X,Mr.,José Eduardo181,Sisneros410,,,M,hispanic,mexican,M,Juarez  Chihuahua  MX,593 Lehner Branch,Revere,Massachusetts,02151
